범죄대분류,범죄중분류,남자(계),남자(정상),남자(정신이상),남자(정신박약),남자(기타정신장애),남자(주취),남자(미상),여자(계),여자(정상),여자(정신이상),여자(정신박약),여자(기타정신장애),여자(주취),여자(월경시이상),미상
강력범죄,살인기수,300,138,14,1,10,85,52,89,45,-,-,10,7,-,27
강력범죄,살인미수등,517,212,10,1,6,250,38,69,23,5,-,9,8,-,24
강력범죄,강도,"1,786","1,318",11,6,17,309,125,213,174,1,-,1,7,-,30
강력범죄,강간,"5,564","2,357",5,7,33,"1,696","1,466",57,34,-,-,1,6,-,16
강력범죄,유사강간,526,262,1,-,8,149,106,9,5,-,-,-,3,-,1
강력범죄,강제추행,"14,229","6,570",69,54,258,"5,484","1,794",259,99,-,1,7,56,-,96
강력범죄,기타 강간 강제추행등,656,349,1,-,6,204,96,30,15,-,-,-,2,-,13
강력범죄,방화,"1,295",509,40,7,40,595,104,222,84,16,1,21,79,-,21
절도범죄,절도,"81,638","66,676",217,170,754,"7,446","6,375","21,528","17,775",133,60,411,"1,065",148,"1,936"
폭력범죄,상해,"51,956","25,006",106,15,190,"22,931","3,708","10,103","6,309",34,7,74,"2,506",-,"1,173"
폭력범죄,폭행,"161,073","40,361",172,40,297,"41,189","79,014","31,235","9,908",91,8,145,"5,173",1,"15,909"
폭력범죄,체포 감금,997,508,2,-,3,120,364,229,92,1,-,-,3,-,133
폭력범죄,협박,"8,065","3,253",22,2,38,"1,948","2,802","1,132",489,7,-,7,83,-,546
폭력범죄,약취 유인,172,92,1,-,-,28,51,80,40,-,-,-,2,-,38
폭력범죄,폭력행위등,"61,247","26,254",121,16,200,"25,644","9,012","11,755","6,092",37,3,66,"3,502",-,"2,055"
폭력범죄,공갈,"2,509","1,549",4,1,14,265,676,421,244,-,-,-,5,-,172
폭력범죄,손괴,"27,478","9,561",120,13,199,"13,777","3,808","4,271","2,001",78,5,79,"1,272",1,835
지능범죄,직무유기,731,151,-,-,-,-,580,129,17,-,-,-,-,-,112
지능범죄,직권남용,513,85,-,-,-,1,427,74,6,-,-,-,-,-,68
지능범죄,증수뢰,771,551,-,-,-,9,211,71,55,-,-,-,-,-,16
지능범죄,통화,272,96,-,1,-,-,175,14,6,-,-,-,1,-,7
지능범죄,문서 인장,"14,021","6,997",5,-,4,94,"6,921","5,001","2,718",4,-,5,37,-,"2,237"
지능범죄,유가증권인지,347,142,1,-,-,-,204,52,23,-,-,-,-,-,29
지능범죄,사기,"177,215","81,291",49,17,116,"8,055","87,687","50,990","23,517",25,10,50,255,-,"27,133"
지능범죄,횡령,"28,462","15,562",16,12,47,405,"12,420","7,483","3,751",2,5,17,48,1,"3,659"
지능범죄,배임,"6,778","2,481",-,-,-,6,"4,291","1,455",457,-,-,-,-,-,998
풍속범죄,성풍속범죄,"10,952","8,491",38,35,130,"1,179","1,079",965,446,2,1,2,22,-,492
풍속범죄,도박범죄,"23,556","20,882",8,-,-,"1,490","1,176","5,610","4,948",1,-,-,98,-,563
특별경제범죄,특별경제범죄,"68,802","35,558",62,17,99,"12,023","21,043","21,554","11,868",51,8,64,"1,142",-,"8,421"
마약범죄,마약범죄,"5,334","4,439",82,34,96,74,609,"1,579","1,414",12,7,22,23,-,101
보건범죄,보건범죄,"11,041","9,285",5,-,4,168,"1,579","9,680","8,248",3,-,-,98,-,"1,331"
환경범죄,환경범죄,"2,818","2,474",2,-,-,6,336,358,276,-,-,-,-,-,82
교통범죄,교통범죄,"467,654","132,959",61,16,192,"208,157","126,269","81,720","23,554",7,1,22,"24,207",-,"33,929"
노동범죄,노동범죄,"1,728","1,562",-,-,-,1,165,667,602,-,-,-,-,-,65
안보범죄,안보범죄,142,116,-,-,-,2,24,32,26,-,-,-,-,-,6
선거범죄,선거범죄,"1,007",799,-,-,-,12,196,114,101,-,-,-,-,-,13
병역범죄,병역범죄,"18,145","17,334",4,1,30,4,772,96,85,-,-,-,-,-,11
기타범죄,기타범죄,"177,646","114,400",187,39,339,"21,792","40,889","64,101","43,795",105,14,150,"2,116",4,"17,917"
