"citations", "year", "software"
22900, 2010, "R"
24200, 2011, "R"
27500, 2012, "R"
29600, 2013, "R"
31200, 2014, "R"
37300, 2015, "R"
47600, 2016, "R"
63200, 2017, "R"
73500, 2018, "R"
73700, 2019, "R"
56200, 2020, "R"
521000, 2010, "SPSS"
468000, 2011, "SPSS"
498000, 2012, "SPSS"
487000, 2013, "SPSS"
432000, 2014, "SPSS"
386000, 2015, "SPSS"
322000, 2016, "SPSS"
270000, 2017, "SPSS"
211000, 2018, "SPSS"
149000, 2019, "SPSS"
86300, 2020, "SPSS"
96700, 2010, "SAS"
98800, 2011, "SAS"
107000, 2012, "SAS"
102000, 2013, "SAS"
91400, 2014, "SAS"
85700, 2015, "SAS"
77200, 2016, "SAS"
66300, 2017, "SAS"
57500, 2018, "SAS"
42000, 2019, "SAS"
36400, 2020, "SAS"
14200, 2010, "STATA"
16900, 2011, "STATA"
18900, 2012, "STATA"
21600, 2013, "STATA"
23600, 2014, "STATA"
32400, 2015, "STATA"
38400, 2016, "STATA"
44700, 2017, "STATA"
44700, 2018, "STATA"
40200, 2019, "STATA"
38200, 2020, "STATA"
