"","latitude","longitude","depth","mb","name","source","Country","datetime","max_yield","medium","confirmation","salvo"
"1",41.5,88.5,0,NA,"-","BOLT","China","10/16/1964 7:00:00 AM",20,"Air","presumed",0
"2",41.5,88.5,0,NA,"-","BOLT","China","5/14/1965 2:00:00 AM",20,"Air","presumed",0
"3",41.5,88.5,0,NA,"-","BOLT","China","5/9/1966 8:00:00 AM",200,"Air","presumed",0
"4",41.5,88.5,0,NA,"-","NRDC","China","10/27/1966 1:10:00 AM",0,"Air","unknown",0
"5",41.5,88.5,0,NA,"-","NRDC","China","12/28/1966 4:00:00 AM",0,"Air","unknown",0
"6",40.744,89.775,NA,4.7,"-","GUPTA-JED","China","6/17/1967 12:19:08 AM",3300,"Air","presumed",0
"7",41.5,88.5,0,NA,"-","NRDC","China","12/24/1967 4:00:00 AM",0,"Air","unknown",0
"8",41.5,88.5,0,NA,"-","BOLT","China","12/27/1968 7:30:00 AM",0,"Air","unknown",0
"9",41.376,88.318,NA,5.2,"-","GUPTA-JED","China","9/22/1969 4:14:59 PM",19.2,"Underground","presumed",0
"10",40.722,89.515,NA,4.37,"-","GUPTA-JED","China","9/29/1969 8:40:12 AM",3000,"Air","presumed",0
"11",40.52,89.779,NA,4.6,"-","GUPTA-JED","China","10/14/1970 7:29:57 AM",3400,"Air","presumed",0
"12",41.5,88.5,0,NA,"-","BOLT","China","11/18/1971 6:00:00 AM",20,"Air","presumed",0
"13",41.5,88.5,0,NA,"-","NRDC","China","1/7/1972 7:00:00 AM",0,"Air","unknown",0
"14",41.5,88.5,0,NA,"-","BOLT","China","3/18/1972 6:00:00 AM",0,"Air","unknown",0
"15",40.7985,89.8091,NA,4.8,"-","GUPTA-JED","China","6/27/1973 3:59:46 AM",3000,"Air","presumed",0
"16",40.518,89.619,NA,4.5,"-","GUPTA-JED","China","6/17/1974 5:59:53 AM",1000,"Air","presumed",0
"17",41.375,88.326,NA,5,"-","GUPTA-JED","China","10/27/1975 12:59:58 AM",2.5,"Underground","presumed",0
"18",41.5,88.5,0,NA,"-","NRDC","China","1/23/1976 6:00:00 AM",0,"Air","unknown",0
"19",41.5,88.5,0,NA,"-","NRDC","China","9/26/1976 6:00:00 AM",0,"Air","presumed",0
"20",41.708,88.37,NA,4.9,"-","GUPTA-JED","China","10/17/1976 4:59:59 AM",2.6,"Underground","presumed",0
"21",40.696,89.627,NA,4.7,"-","GUPTA-JED","China","11/17/1976 6:00:13 AM",4000,"Air","presumed",0
"22",41.5,88.5,0,NA,"-","NRDC","China","9/17/1977 7:00:00 AM",0,"Air","unknown",0
"23",41.5,88.5,0,NA,"-","NRDC","China","3/15/1978 5:00:00 AM",0,"Air","confirmed",0
"24",41.523,88.722,NA,4.9,"-","GUPTA-JED","China","10/14/1978 12:59:58 AM",3.4,"Underground","presumed",0
"25",41.5,88.5,0,NA,"-","NRDC","China","12/14/1978 12:00:00 AM",0,"Air","unknown",0
"26",41.5,88.5,0,NA,"-","NRDC","China","9/13/1979 12:00:00 AM",0,"Underground","presumed",0
"27",40.719,89.651,NA,4.44,"-","GUPTA-JED","China","10/16/1980 4:30:30 AM",1000,"Air","presumed",0
"28",41.5,88.5,0,NA,"-","NRC","China","10/5/1982 12:00:00 AM",0,"Underground","presumed",0
"29",41.679,88.368,NA,4.5,"-","GUPTA-JED","China","5/4/1983 4:59:58 AM",1,"Underground","presumed",0
"30",41.54,88.72,0,5.47,"-","AWE-JED","China","10/6/1983 10:00:00 AM",0,"Underground","presumed",0
"31",41.57,88.73,0,5.2,"-","AWE-JED","China","10/3/1984 6:00:00 AM",0,"Underground","presumed",0
"32",41.737,88.425,NA,4.7,"-","GUPTA-JED","China","12/19/1984 5:59:58 AM",1.3,"Underground","presumed",0
"33",41.518,88.713,NA,6.3,"-","GUPTA-JED","China","6/5/1987 4:59:58 AM",250,"Underground","presumed",0
"34",41.768,88.38,NA,4.7,"-","GUPTA-JED","China","9/29/1988 6:59:58 AM",2.5,"Underground","presumed",0
"35",41.569,88.701,NA,5.5,"-","GUPTA-JED","China","5/26/1990 7:59:58 AM",11.5,"Underground","presumed",0
"36",41.514,88.739,NA,6.2,"-","GUPTA-JED","China","8/16/1990 4:59:58 AM",189,"Underground","presumed",0
"37",41.513,88.774,NA,6.5,"-","GUPTA-JED","China","5/21/1992 4:59:58 AM",650,"Underground","presumed",0
"38",41.716,88.336,NA,5,"-","GUPTA-JED","China","9/25/1992 7:59:59 AM",8,"Underground","presumed",0
"39",41.667,88.695,0,5.9,"-","PDE","China","10/5/1993 1:59:57 AM",0,"Underground","presumed",0
"40",41.53,88.71,0,5.8,"-","PDE","China","6/10/1994 6:25:58 AM",0,"Underground","presumed",0
"41",41.66,88.75,0,6,"-","PDE","China","10/7/1994 3:25:58 AM",0,"Underground","presumed",0
"42",41.6,88.82,0,6.1,"-","PDE","China","5/15/1995 4:05:58 AM",0,"Underground","presumed",0
"43",41.56,88.8,0,6,"-","PDE","China","8/17/1995 12:59:58 AM",0,"Underground","presumed",0
"44",41.66,88.69,0,5.9,"-","PDE","China","6/8/1996 2:55:58 AM",0,"Underground","presumed",0
"45",41.82,88.42,0,4.9,"-","PDE","China","7/29/1996 1:48:58 AM",0,"Underground","presumed",0
"46",27,0,0,NA,"gerb._bleue","BOLT","France","2/13/1960 7:04:00 AM",0,"Air","unknown",0
"47",27,0,0,NA,"gerb._blanche","BOLT","France","4/1/1960 6:17:00 AM",0,"Air","unknown",0
"48",27,0,0,NA,"gerb._rouge","BOLT","France","12/27/1960 7:30:00 AM",0,"Air","unknown",0
